program,rank_in_program,rank_by_mean_score,cell_type,n_cells,n_expressing,prop_expressing,ci_low,ci_high,mean_score,median_score,prop_overall,enrichment
P01_HBB,17,1,Eryth,28,4,0.14285714285714285,0.05699005319749392,0.31489802163525293,0.9100119436354867,-0.06304620107014974,0.15421659760331505,0.9263409067330635
P01_HBB,18,18,CD4 TEM,268,38,0.1417910447761194,0.1050773568308905,0.18862861122513483,0.02966308839285552,-0.22995689392089846,0.15421659760331505,0.919427914891772
P01_HBB,19,14,CD4 TCM,4196,588,0.14013346043851288,0.1299591812953535,0.15096605609491476,0.07110119860476072,-0.22408157348632812,0.15421659760331505,0.9086794976437774
P01_HBB,20,16,CD4 CTL,258,36,0.13953488372093023,0.10252157707729037,0.18712491038988127,0.046035558567490684,-0.23493995666503908,0.15421659760331505,0.9047980949485737
P01_HBB,21,10,CD8 TEM,1574,219,0.13913595933926304,0.122915265933639,0.15711379297506411,0.08836235626023586,-0.21413818359375,0.15421659760331505,0.9022113151345531
P01_HBB,22,12,NK_CD56bright,119,16,0.13445378151260504,0.08448514627993264,0.20728490566165336,0.08560347140336239,-0.23712313334147136,0.15421659760331505,0.8718502651605303
P01_HBB,23,9,CD4 Naive,1403,188,0.13399857448325017,0.1171693184958317,0.15282660495321274,0.09452759668192066,-0.19729113260904949,0.15421659760331505,0.8688985269142634
P01_HBB,24,13,B naive,908,121,0.13325991189427314,0.11269205678908097,0.15691781501763274,0.07845677135274275,-0.2069716262817383,0.15421659760331505,0.864108753307164
P01_HBB,25,19,MAIT,103,13,0.1262135922330097,0.07526477887967384,0.20404120542717966,-0.0008651707164677997,-0.2267285664876302,0.15421659760331505,0.8184176942981435
P01_HBB,26,25,NK Proliferating,27,3,0.1111111111111111,0.038520348283098374,0.2805780081827982,-0.21695686269689482,-0.45950586954752604,0.15421659760331505,0.7204873719034939
P01_HBB,27,20,ILC,10,1,0.1,0.017876213095072896,0.4041500267952385,-0.05833331012725831,-0.24361663818359375,0.15421659760331505,0.6484386347131446
P01_HBB,28,17,gdT,219,19,0.0867579908675799,0.0562442807795563,0.13151906919187428,0.03270950860265909,-0.23887458801269532,0.15421659760331505,0.5625723314862897
P01_HBB,29,29,CD8 Proliferating,2,0,0.0,0.0,0.6576197724933469,-0.6696951548258463,-0.6696951548258463,0.15421659760331505,0.0
